Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.Grunnbemanning totalt
984168349	Fjordvangen barnehage	13.2
995458268	Hagebagen Familiebarnehage Synnøve Fylling	2.5
990006598	Haslerud Natur Familiebarnehage Are Dammann	2.1
998380537	Heia barnehage	32
974180871	Hellvik Barnehage. Hakkespettlia Sa	6
985820449	Hestehoven Familiebarnehage	1.1
911565684	Hind Herred AS	2
975301753	Kongleveien barnehage	25
984680937	Lilleengen Familiebarnehage	4.4
890705952	Mosseliten Familiebarnehage Hege Frøyland	1.1
979835272	Munkestien barnehage	25
875301772	Oksval barnehage	13
974288346	Salamanderskogen barnehage Sa	4.8
872332022	Sletta barnehage AS	3.6
973076922	Solsikken Steinerbarnehage	16.4
988538744	Startgropa barnehage AS	10
975301788	Sunnhagen barnehage	14
975315843	Vestsiden barnehage	9
986963413	Åpen barnehage Berger	0.5
988777404	Åpen barnehage Fagerstrand	0.3
975317587	Bjertnes barnehage	10
986948260	Espira Snurrefjellet barnehage	18
974892170	Fortet Naturbarnehage Fredriksen	3.9
975028925	Glittre barnehage	6.3
986767576	Gnisten barnehage Sa	15
985314462	Hundremeterskogen barnehage Sa	17.7
991796177	Industriveien Fus barnehage AS	16
995535637	Kruttverket Fus barnehage AS	18.8
995619946	Læringsverkstedet barnehage Avd Haugeråsen	17.3
996968529	Læringsverkstedet barnehage Avd Skytta	13.9
992810971	Læringsverkstedet barnehage Avd Slattum	16.2
973382462	Maristua barnehage Sa	4
975301990	Mortetjern barnehage	14.7
975302008	Nygård barnehage	12
984422490	Parken barnehage Ans	2.8
890721672	Rotnes Fus Kulturbarnehage AS	18
982701112	Sinoberbarnehagene AS	17
972333239	Skyset Fus barnehage AS	10.6
973469274	Solstua barnehage AS	4.4
980529398	Steinrøysa Andelsbarnehage Sa	11.4
974460335	Stubben barnehage Sa Avd Nyveien	7.2
988215651	Stubben barnehage Sa Avd Velveien	8.8
973501054	Sørliveien barnehage Sa	6.7
975302024	Tøyen barnehage	9
973489186	Tøyenåsen Barnehagen	11
984468369	Varingskollen barnehage Sa	25.8
975295737	Åneby barnehage	10
974579596	Augestad barnehage Avd Tårnåsen	3.3
974579766	Augestad barnehage Avd Øståsen	10.3
974579510	Bråten barnehage	12.3
991120017	Ekornrud barnehage	20.3
987387084	Gimleveien barnehage	14.3
975316823	Greverudlia barnehage	9.3
897621452	Hareveien barnehage	20.3
974579669	Haukeliveien barnehage	13.3
974579529	Hellerasten barnehage	13.3
974579677	Holberg barnehage	13.3
874579602	Ingierkollen barnehage Avd Ingieråsen	7.3
974179229	Ingierkollen barnehage Avd Kantor	9.3
985256616	Kapellveien barnehage	14.3
988081035	Kolbotn barnehage Avd Liaveien	3
974579626	Kolbotn barnehage Avd Skolebakken	10.3
974579642	Mellomåsen barnehage	13.3
974579650	Nordåsveien barnehage	13.3
980068137	Oppegård kommune Åpen barnehage	0.2
976603079	Rikeåsen barnehage Sa	14.3
973598104	Rognebærlia barnehage	13.3
989767305	Slåbråten barnehage	13.3
981626257	Sofiemyråsen barnehage Sa	14
974197901	Svartskog Friluftsbarnehage Sa	3
974579537	Sætreskogen barnehage	13.3
974183129	Trolldalen barnehage Avd Trollåsen	7.3
974579588	Trolldalen barnehage Avd Vassbonn	10.3
974579634	Tømteveien barnehage	13.3
973598112	Vestliveien barnehage	13.3
974579618	Vestre Greverud barnehage Avd Flåtestadveien	10.3
875301322	Vestre Greverud barnehage Avd Toppenhaug	3
974579545	Ødegården barnehage	20.3
989962655	Bjørnehi Private Familiebarnehage Igbale Hasani	2.6
913988833	Blystadlia barnehage	10
984035179	Blåbærgrenda barnehage	16.9
974586576	Elgen barnehage	13
818722192	Espira Tristilbakken barnehage	14.5
992818727	Heimen barnehage	14
992336943	Hektneråsen Fus barnehage AS	25
974586584	Lilleborg barnehage	15.9
974586568	Løvenstad barnehage	14
974586606	Løvlia barnehage	14.4
972517038	Petrine barnehage	9
874586552	Sannum barnehage	20
987067276	Smedstadtoppen barnehage Ba	18.9
872215492	Tangen barnehage Sa	7
991298207	Tomter Fus barnehage AS	12.8
988860298	Torva barnehage	16.5
