Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.0 år	2017.Alle eierformer.1 år	2017.Alle eierformer.2 år	2017.Alle eierformer.3 år	2017.Alle eierformer.4 år	2017.Alle eierformer.5 år
917329583	Nygård barnehage Avd Dalen	0	0	0	0	0	17
990177589	Nygård barnehage Avd Nygårdsveien	0	2	4	8	4	0
991262865	Ramstadskogen barnehage	0	12	19	15	19	14
972333123	Sommerly barnehage Sa	0	12	12	20	17	9
915482481	Tienbråten barnehage	0	13	22	47	24	36
975300242	Bilitt barnehage	3	7	10	11	9	7
987078537	Bjerkeveien barnehage Sa	1	13	12	12	13	13
988532703	Dal barnehage	0	8	9	5	5	9
972240702	Drøbak Montessoribarnehage	0	0	1	8	8	13
992004525	Dyrløkketoppen barnehage	0	2	5	0	0	0
899235932	Dyrløkketoppen Familiebarnehage	0	0	0	5	5	0
973025406	Dyrløkkeåsen barnehage	0	14	13	16	25	20
974825368	Frelsesarmeens Barnehager Avd Solgry	0	8	6	13	11	12
876009072	Frogn Foreldrelagsbarnehage	2	9	12	11	11	15
975301702	Heer barnehage	1	8	7	18	20	26
973446002	Heer Grendehus barnehage Sa	0	5	4	2	8	4
873471972	Lindebakken barnehage	0	6	4	2	8	2
994965263	Løvspretten Familiebarnehage	1	2	0	0	0	0
995085232	Ole Brumm Familiebarnehage	3	0	1	0	0	0
976775694	Tertitten barnehage Ans	0	7	6	6	6	4
975320227	Trollberget barnehage	0	3	9	6	16	8
975301710	Ullerud barnehage	0	7	20	22	21	24
973350366	Askhøgda barnehage	0	3	5	3	7	6
995166429	Ekornstua Familiebarnehage Anne Sundstu	0	0	0	1	1	3
988741795	Espira Brådalsfjellet barnehage	5	18	12	18	19	23
974547686	Gjerdrum barnehage	4	11	19	17	29	18
998769620	Gjerdrum Friluftsbarnehage	1	2	3	7	3	9
974547767	Grønlund barnehage	0	15	13	14	10	12
994615793	Hoelstoppen Familiebarnehager Tove Olstad	0	2	1	5	0	2
980901084	Læringsverkstedet barnehage Avd Bekkeberget	2	12	12	14	9	16
812448072	Hoppensprett Hurdal AS	1	9	10	10	14	11
885268412	Hurdal barnehage	0	4	4	6	5	6
995412772	Læringsverkstedet barnehage Avd Hurdal	1	12	19	9	20	21
986383670	Ahus Norbyhagen barnehage 2	1	8	11	13	11	8
974706512	Ahus Nordbyhagen barnehage 1	1	8	16	9	16	11
986383719	Ahus Nordbyhagen barnehage 3	3	15	19	21	10	8
986383778	Ahus Nordbyhagen barnehage 4	7	16	13	15	6	13
986383794	Ahus Nordbyhagen barnehage 5	2	12	14	13	11	14
988255947	Bambi Familiebarnehage	0	3	5	0	0	0
980891186	Benterud barnehage	0	6	10	16	16	16
975325946	Bruget barnehage	0	0	0	4	10	6
992506652	Bårliskogen barnehage	0	12	14	22	16	22
991479996	Eventyrstua barnehage	0	6	15	20	14	12
975301850	Finstad barnehage	0	8	12	12	12	12
975301869	Fjellhamar barnehage	0	6	7	12	9	15
